"Image","Lat","Lon","Date","tags","search_term","year"
225431343,-15.808709,-47.841194,"2006-08-26 15:48:44","brazil brasília geotagged df hdr brasilia distritofederal photomatix hdrextremes geo:lat=15808709 geo:lon=47841194","savanna",2006
10149699374,-16.234196,-48.662695,"2013-09-08 13:47:28","lago lagodecorumbá cerrado biomadocerrado biomabrasileiro goiás brasil colorida 2013 20x30 paisagem paisagemrural canon américa américadosul canonefs1855mmf3556is abadiânia água canoneosdigitalrebelxti rebelxti xti","cerrado",2013
10149785995,-16.234196,-48.662695,"2013-09-08 10:49:35","lago lagodecorumbá cerrado biomadocerrado biomabrasileiro goiás brasil colorida 2013 20x30 paisagem paisagemrural canon américa américadosul canonefs1855mmf3556is abadiânia água canoneosdigitalrebelxti rebelxti xti","cerrado",2013
10149872616,-16.234196,-48.662695,"2013-09-08 12:34:11","lago lagodecorumbá cerrado biomadocerrado biomabrasileiro goiás brasil colorida 2013 20x30 paisagem paisagemrural canon américa américadosul canonef75300mmf456isusm abadiânia água canoneosdigitalrebelxti rebelxti xti","cerrado",2013
10492322776,-15.576248,-56.072555,"2013-10-06 10:28:54","mirantechapadadosguimarãescentrogeodésicodaaméricalatina","grassland",2013
10595619606,-5.07005,-42.802417,"2012-09-26 11:39:12","brazil southamerica brasil america geotagged américa br pi northeast nordeste brésil piauí teresina américadosul amériquedusud jobo regiãonordeste américadelsur südamerika ブラジル 南美洲 repúblicafederativadobrasil nordestedobrasil americameridionale cidadeverde güneyamerika northeastofbrazil estadodopiauí capitaldopiauí brasilemimagens rainhadonordeste jobogeotagged municípiodeteresina capitaldosoledaluz capitaldomeionorte terradacajuína mesopotâmiabrasileira capitaldamúsicainstrumental vistaaéreadeteresina teresinavistadoalto aerialviewofteresina teresinaaerialview riopotiteresinaestadodopiauíbrasil","aerial",2012
10736940724,-19.58287,-56.109134,"2013-10-28 15:07:19","brazil landscape br aerial pantanal matogrossodosul aquidauana","aerial",2013
10737136813,-20.113464,-55.340395,"2013-10-28 14:42:16","brazil landscape br aerial matogrossodosul aquidauana","aerial",2013
11607017284,-19.934959,-43.476444,"2013-12-27 15:41:11","barãodecocais uploaded:by=flickrmobile flickriosapp:filter=nofilter","forest",2013
11613018635,-19.934959,-43.476444,"2013-12-27 16:30:13","barãodecocais uploaded:by=flickrmobile flickriosapp:filter=nofilter","grassland",2013
11675900776,-10.284687,-48.106384,"2013-04-06 16:11:15","","cerrado",2013
11756320755,-15.407202,-55.832905,"2013-12-17 15:58:20","n chapadadosguimarães véudenoiva","forest",2013
11933115473,-12.462181,-41.418478,"2014-01-03 14:17:51","trip travel sunset brazil sun nature brasil trekking do natureza bahia cachoeira chapada diabo poço diamantina mochilão mochileiros backparker","nature",2014
