"Panoid","Lat","Lon","Date","Copyright"
"CAoSLEFGMVFpcE9uZVMxUGtHQ20yLVdpVkZ3MWI4bkZHTU9wdzJHcnh4cllJM1M3",-2.8921423,-43.9704726,"2019-07","© Alesson Carlos"
"0XcoTkLsnziErsWDrzQvHQ",-3.48289849733314,-43.916199625292,"2019-10","© Google"
"-0YVd1sV51OqXDSxMp-73Q",-3.45933295047183,-43.9082272711736,"2012-08","© Google"
"-o_W-1MS6yCSXuo_fog-mw",-3.5401757,-43.8981889,"2012-07","© Google"
"0qaTK-eFvMKfewXPguexow",-3.55671938145444,-43.8832478800504,"2019-10","© Google"
"0Ad_7LAq6JJIQGJ1o45GZQ",-3.55572895063177,-43.8568442823477,"2019-10","© Google"
"CAoSLEFGMVFpcE1WSjBKUE1TUEpCZU16cFBHc1hxSUVFQldtWWc0RkJOVU93RFFF",-4.4718584,-43.8368226,"2020-07","© Daniel Itallo"
"CAoSLEFGMVFpcFBQTEZCMnduUXB0SzBfYWdXcjdVS3U4eDZGSk9BcUVhMXgtYmVr",-4.4719118,-43.8368205,"2020-07","© Daniel Itallo"
"CAoSLEFGMVFpcE05RTAyMnF2bVhHLU1BQkNpMzJyTVRIWTZwMkhST0hxaFFZSW8t",-3.929302,-43.8219223,"2016-02","© Eu Vitor"
"2Gy8Prt8jKtB0nHyFQ_wNQ",-2.796036,-43.7981392,"2019-11","© Google"
"-l7MnqUfJOpgCKR6bi6yiA",-3.60455247059617,-43.7926922733563,"2019-10","© Google"
"-7kp2sT9ICIHPJQuDQTNbg",-3.60701325591204,-43.7666824265496,"2019-10","© Google"
"13DsfPXgoAQOR6XHSTK3zQ",-2.72931647952384,-43.6400330351504,"2019-11","© Google"
"0XBk0erMxP3GfyrrpVxAsw",-3.63848691066979,-43.6044141158723,"2019-10","© Google"
"1-jrt3ANsDNK2uG6h-jXRw",-2.748058033965,-43.574069041623,"2019-11","© Google"
"1bHhN2P7ZjzgagsL9eMVHQ",-3.40070053508145,-43.5480540297447,"2019-10","© Google"
"0b2gKRX7rGOSm9Bd6J5Qug",-2.74083186296071,-43.5520823181447,"2019-11","© Google"
"032PkbXe3VrAa_AhX4fbdw",-2.73338599370568,-43.5404352711666,"2019-11","© Google"
"-gU3SMuGHJvObzhxSvXAFw",-3.3523617,-43.5188695,"2019-10","© Google"
"2CHzztQDDLyScnWd09nWrg",-3.30135259626681,-43.4936077740089,"2019-10","© Google"
"117aSkuMQrMWr3SGCQJ8rw",-2.72120113748779,-43.450551472058,"2019-11","© Google"
"0OZyJRu0mOfoLEHAI4MLYw",-3.27900521779304,-43.4355643606774,"2019-10","© Google"
"-Lmg5m7KCr2mxl1rPiz0tg",-2.75650060894344,-43.3322430918753,"2019-11","© Google"
"1ez4bDb42MgVq5cdcgKcqg",-3.7299179437788,-43.3049214723213,"2016-10","© Google"
"0mBYi8PWlgg97UAKkoftyw",-3.71835060097501,-43.2134897786304,"2016-10","© Google"
"01HW-BGntn-jcofPEmoJQA",-2.83060432333643,-43.1877948406946,"2019-11","© Google"
"2-GePFUllxQIRk5haycV3g",-4.08743798611988,-43.13910046993,"2019-07","© Google"
"1zjGO1FpycGuRCBYa68yww",-4.4920626,-43.0824762,"2019-07","© Google"
"--Tw9XklVYHnQfi2bYAWBA",-4.28318729320278,-43.0340916397346,"2019-07","© Google"
"-imI5an5OhjOdyBKeCk-iA",-4.372988,-43.0369593,"2019-07","© Google"
"1a5UVMFRZcLrT8Dw6cUNwA",-4.19274500845734,-43.0155100365086,"2019-07","© Google"
"-uWYieoGqmHLQD1zrs3mRg",-3.69299026015973,-43.0149369420724,"2016-10","© Google"
"17aFPMhj01SimGotEN3K2Q",-4.28205188909523,-43.0014426036562,"2012-10","© Google"
"23cw-RuyXU5AWRBGEzjKCA",-4.15863303531993,-42.9783616763238,"2019-01","© Google"
"1JHtaAg_x12fXCoCwGcoOA",-2.84061118591494,-42.978109511777,"2019-11","© Google"
"-HEYZd8A5YR3VR8IOs52pg",-3.7786281190819,-42.9623212495257,"2019-01","© Google"
"-yC4j25dxrX4F7-G4r0nHw",-4.1766432,-42.9569108,"2012-10","© Google"
"04g0ykwb7MI0HPPu7kZ91w",-3.7763574333763,-42.9638010634281,"2019-01","© Google"
"0hih4Z3DDD0_lJavrnNBSw",-4.12891375056628,-42.951860522332,"2019-01","© Google"
"0GHhfpFW4bNtRyRQHsiFJQ",-2.72667532890745,-42.9324125851267,"2015-07","© Google"
"18ERdqPjnaN6Wbww_xyVUA",-2.71293560843779,-42.9202263206772,"2015-07","© Google"
"-AwQltA_uBlbw8Y3N5jZcw",-4.21886902468603,-42.8988364947438,"2019-01","© Google"
"-M5eW9UiRKFVxqZZspcAbw",-2.84771310050861,-42.8901646769723,"2019-11","© Google"
"1YeFxlZViqjiL4OhMY_dtg",-4.40460287882674,-42.8795379707879,"2019-01","© Google"
"--k7nCYRzM5xloJQrmvTLw",-4.43828233697585,-42.8333302703683,"2019-01","© Google"
"-p4f0V5ZeO-UpL5jHA4wiw",-4.47400359772707,-42.8225600507996,"2019-01","© Google"
"CAoSLEFGMVFpcE1LVjRIWVk4LTVUbnJDVHVrbWVUWC1qb1lXWVRUTFJQZ1VNcEEy",-12.1870136,-59.7533073,"2015-12","© Carlos Tuyama"
"CAoSLEFGMVFpcE00dWowOWIxR2VHeW1YY1F1dk81ZGRUVEdNV0lBVzNtRVpNTU4z",-14.4071167,-59.4636562,"2020-12","© Wallace L C Cavalcante"
"CAoSLEFGMVFpcE1LRHR3NU04SndmSmQ2YkxLUFBqRDZvMXZobUhFOVhtaTVOakxH",-13.559994,-58.4076628,"2019-09","© Sergio Luis Formighieri Junior"
